Paper_ID,Authors,Year,Drug,Dose_mg,Formulation,Route,Condition,Gravity_Model,Duration,Subjects_n,Sample_Matrix,Cmax_value,Cmax_unit,Tmax_h,AUC0t_value,AUC0t_unit,AUC0inf_value,AUC0inf_unit,t_half_h,Clearance,Clearance_unit,Vd,Vd_unit,MRT_h,Notes
Putcha1991,Putcha & Cintron,1991,Acetaminophen,650,Not specified,Oral,Space Flight Day 0-1,Space Shuttle,Mission day 0-1,12,Saliva,NA,µg/mL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cmax decreased on MD0-1 (bimodal distribution noted); exact values in graph only
Putcha1991,Putcha & Cintron,1991,Acetaminophen,650,Not specified,Oral,Space Flight Day 2-3,Space Shuttle,Mission day 2-3,12,Saliva,NA,µg/mL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cmax increased MD2-3; Tmax increased
Putcha1991,Putcha & Cintron,1991,Acetaminophen,650,Not specified,Oral,Space Flight Day 4,Space Shuttle,Mission day 4,12,Saliva,NA,µg/mL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cmax decreased MD4; Tmax continued increased
Rumble1991,Rumble et al.,1991,Paracetamol,500,Tablets,Oral,Ambulation (Morning),Horizontal bed rest,Ambulatory,8,Plasma,9.47,mg/L,35.6 min,25.4,mg/L*h,NA,NA,129.1 min,21.1,L/h,0.94,L/kg,195.5 min,MRT=195.5 min; Ae=0.020 fraction dose; ClR=0.245 L/h
Rumble1991,Rumble et al.,1991,Paracetamol,500,Tablets,Oral,Bed Rest (Morning),Horizontal bed rest,1 day HBR,8,Plasma,8.65,mg/L,54.5 min,24.4,mg/L*h,NA,NA,122.8 min,22.5,L/h,0.92,L/kg,201.7 min,MRT=201.7 min; Ae=0.032; ClR=0.280 L/h; urinary flow significantly higher
Rumble1991,Rumble et al.,1991,Paracetamol,500,Tablets,Oral,Sleep (Midnight),Horizontal bed rest,Sleep,8,Plasma,7.29,mg/L,72.0 min,27.4,mg/L*h,NA,NA,142.2 min,19.9,L/h,1.02,L/kg,239.6 min,MRT significantly longer during sleep vs ambulation (p<0.05); Vd/f not significantly different
Renwick1992,Renwick et al.,1992,Paracetamol,1000,Soluble,Oral,Recumbent Left,Horizontal bed rest,Left lateral,8,Plasma,18.3,µg/mL,0.52,44.5,µg/mL*h,NA,NA,2.46,NA,NA,NA,NA,3.42,MRT 3.42h; co-administered with nifedipine
Renwick1992,Renwick et al.,1992,Paracetamol,1000,Soluble,Oral,Recumbent Right,Horizontal bed rest,Right lateral,8,Plasma,23.1,µg/mL,0.34,47.6,µg/mL*h,NA,NA,2.35,NA,NA,NA,NA,3.19,Tmax significantly shorter vs left (p<0.05); MRT 3.19h
Renwick1992,Renwick et al.,1992,Paracetamol,1000,Soluble,Oral,Standing,Horizontal bed rest,Standing,8,Plasma,20.6,µg/mL,0.34,44.1,µg/mL*h,NA,NA,2.19,NA,NA,NA,NA,3.08,Tmax significantly shorter vs left (p<0.05); MRT 3.08h
Renwick1992,Renwick et al.,1992,Nifedipine,20,Capsules,Oral,Recumbent Left,Horizontal bed rest,Left lateral,8,Plasma,148.7,ng/mL,0.95,354.1,ng/mL*h,NA,NA,4.33,NA,NA,NA,NA,5.62,MRT 5.62h; ratio nifedipine/metabolite Cmax=2.33
Renwick1992,Renwick et al.,1992,Nifedipine,20,Capsules,Oral,Recumbent Right,Horizontal bed rest,Right lateral,8,Plasma,267.9,ng/mL,0.45,490.3,ng/mL*h,NA,NA,5.47,NA,NA,NA,NA,5.11,Cmax and AUC significantly higher vs left (p<0.05); MRT 5.11h
Renwick1992,Renwick et al.,1992,Nifedipine,20,Capsules,Oral,Standing,Horizontal bed rest,Standing,8,Plasma,369.6,ng/mL,0.32,460.3,ng/mL*h,NA,NA,3.98,NA,NA,NA,NA,3.37,Cmax and AUC significantly higher vs left (p<0.05); MRT significantly shorter
Gandia2006,Gandia et al.,2006,Promethazine,50,Tablets,Oral,Ambulatory,HDT -6 degrees,Before BR,12,Plasma,22.5,µg/L,2.9,NA,NA,363,µg/L*h,15.6,261.7,L/h,4848,L,NA,ke=0.048/h; Cl/F and Vd/F are apparent values
Gandia2006,Gandia et al.,2006,Promethazine,50,Tablets,Oral,Bed Rest HDT,HDT -6 degrees,48 hours HDT,12,Plasma,31.2,µg/L,3.2,NA,NA,438,µg/L*h,15.3,188.6,L/h,3317,L,NA,AUC increased 26% during simulated weightlessness vs ambulatory (p<0.05); ke=0.055/h
Gandia2006,Gandia et al.,2006,Promethazine,50,IM injection,Intramuscular,Ambulatory,HDT -6 degrees,Before BR,12,Plasma,52.4,µg/L,2.0,NA,NA,958,µg/L*h,17.8,56.5,L/h,1364,L,NA,ke=0.043/h; AUC ~3x higher than oral route
Gandia2006,Gandia et al.,2006,Promethazine,50,IM injection,Intramuscular,Bed Rest HDT,HDT -6 degrees,48 hours HDT,12,Plasma,55.4,µg/L,1.6,NA,NA,1015,µg/L*h,19.3,55.9,L/h,1386,L,NA,No significant change vs ambulatory IM (bioequivalent); ke=0.043/h
